,Season,Season Encoding,Date,YearOfSeason,YearOfSeason Encoding,HomeTeam,HomeTeam Encoding,AwayTeam,AwayTeam Encoding,FTHG,FTAG,FTR,FTR Encoding,HTHG,HTAG,HTR,Referee,Referee Encoding,Fouls Called Per Game,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
53,Fall,0,25/10/2020,2020/21,1,Southampton,21,Everton,7,2.0,0.0,H,0,2.0,0.0,H,K Friend,19,14.0,12.0,6.0,6.0,2.0,11.0,11.0,4.0,5.0,1.0,2.0,0.0,1.0
54,Fall,0,25/10/2020,2020/21,1,Wolves,29,Newcastle,17,1.0,1.0,D,2,0.0,0.0,D,L Mason,4,14.0,16.0,5.0,3.0,2.0,10.0,10.0,2.0,3.0,0.0,1.0,0.0,0.0
55,Fall,0,25/10/2020,2020/21,1,Arsenal,0,Leicester,12,0.0,1.0,A,1,0.0,0.0,D,C Pawson,25,15.0,12.0,6.0,4.0,2.0,13.0,9.0,9.0,3.0,3.0,5.0,0.0,0.0
56,Fall,0,26/10/2020,2020/21,1,Brighton,3,West Brom,27,1.0,1.0,D,2,1.0,0.0,H,J Moss,27,14.0,5.0,9.0,3.0,3.0,14.0,7.0,6.0,2.0,2.0,0.0,0.0,0.0
57,Fall,0,26/10/2020,2020/21,1,Burnley,-1,Tottenham,25,0.0,1.0,A,1,0.0,0.0,D,M Oliver,28,14.0,13.0,9.0,4.0,3.0,9.0,7.0,4.0,5.0,2.0,0.0,0.0,0.0
58,Fall,0,30/10/2020,2020/21,1,Wolves,29,Crystal Palace,6,2.0,0.0,H,0,2.0,0.0,H,M Atkinson,16,13.0,15.0,11.0,5.0,2.0,13.0,4.0,7.0,6.0,0.0,2.0,0.0,1.0
59,Fall,0,31/10/2020,2020/21,1,Sheffield United,20,Man City,14,0.0,1.0,A,1,0.0,1.0,A,M Oliver,28,14.0,5.0,16.0,1.0,8.0,14.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0
60,Fall,0,31/10/2020,2020/21,1,Burnley,-1,Chelsea,5,0.0,3.0,A,1,0.0,1.0,A,D Coote,9,14.0,5.0,14.0,0.0,9.0,10.0,15.0,3.0,4.0,1.0,0.0,0.0,0.0
61,Fall,0,31/10/2020,2020/21,1,Liverpool,13,West Ham,28,2.0,1.0,H,0,1.0,1.0,D,K Friend,19,14.0,9.0,4.0,5.0,3.0,13.0,14.0,1.0,2.0,0.0,1.0,0.0,0.0
62,Fall,0,01/11/2020,2019/20,2,Aston Villa,-1,Southampton,21,3.0,4.0,A,1,0.0,3.0,A,D England,22,14.0,19.0,9.0,10.0,4.0,12.0,17.0,11.0,1.0,1.0,2.0,0.0,0.0
